t (minutos),T (°C)
0.00,58.8029403687
0.05,58.706413269
0.10,58.6206130981
0.15,58.5240859985
0.20,58.4382858276
0.25,58.3310317993
0.30,58.2559585571
0.35,58.1594314575
0.40,58.0629043579
0.45,57.9878311157
0.50,57.9020309448
0.55,57.8162307739
0.60,57.7197036743
0.65,57.612449646
0.70,57.5266494751
0.75,57.4408493042
0.80,57.3443222046
0.85,57.2692489624
0.90,57.1727218628
0.95,57.1083755493
1.00,57.0118484497
1.05,56.9474945068
1.10,56.8616943359
1.15,56.775894165
1.20,56.6900939941
1.25,56.6042938232
1.30,56.5077667236
1.35,56.4434204102
1.40,56.3576126099
1.45,56.271812439
1.50,56.2074661255
1.55,56.1216659546
1.60,56.025138855
1.65,55.9393386841
1.70,55.8535385132
1.75,55.7891845703
1.80,55.7141113281
1.85,55.6175842285
1.90,55.5425109863
1.95,55.4888839722
2.00,55.3923568726
2.05,55.3172836304
2.10,55.2529296875
2.15,55.1671295166
2.20,55.0813293457
2.25,54.9955291748
2.30,54.9204559326
2.35,54.8561019897
2.40,54.7488479614
2.45,54.6952285767
2.50,54.6201477051
2.55,54.5236282349
2.60,54.4485473633
2.65,54.3734741211
2.70,54.2876739502
2.75,54.2125930786
2.80,54.1375198364
2.85,54.0731735229
2.90,53.9766464233
2.95,53.9122924805
3.00,53.8264923096
3.05,53.7406921387
3.10,53.6656188965
3.15,53.6012649536
3.20,53.504737854
3.25,53.4296646118
3.30,53.3760375977
3.35,53.3009643555
3.40,53.2366104126
3.45,53.1508102417
3.50,53.0971832275
3.55,53.0006637573
3.60,52.9255828857
3.65,52.8719558716
3.70,52.7861557007
3.75,52.7110824585
3.80,52.6574554443
3.85,52.5716552734
3.90,52.50730896
3.95,52.4322280884
4.00,52.3678817749
4.05,52.282081604
4.10,52.2284545898
4.15,52.1426544189
4.20,52.0675735474
4.25,51.9925003052
4.30,51.9281539917
4.35,51.8638000488
4.40,51.7779998779
4.45,51.7243728638
4.50,51.6707458496
4.55,51.5742263794
4.60,51.4991455078
4.65,51.4455184937
4.70,51.3597183228
4.75,51.306098938
4.80,51.2417449951
4.85,51.1773910522
4.90,51.0915908813
4.95,51.0165176392
5.00,50.962890625
5.05,50.8985443115
5.10,50.8341903687
5.15,50.7698440552
5.20,50.6947631836
5.25,50.6196899414
5.30,50.5338897705
